project,pkg_name,syscall,path,type
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/T-TeleSec_GlobalRoot_Class_3.crt,top
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/NetLock_Arany_=Class_Gold=_Főtanúsítvány.crt,top
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/typeinfo,transitive
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/stdlib.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/locale,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/hash_bytes.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/ext/atomicity.h,transitive
bazel-bsp,libp11-kit0,read,/usr/lib/x86_64-linux-gnu/libp11-kit.so.0.3.0,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/gnu/stubs-64.h,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/cpu-set.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/unique_lock.h,transitive
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/fcntl-linux.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/stream_iterator.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/cpp_type_traits.h,transitive
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/signum.h,transitive
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/TUBITAK_Kamu_SM_SSL_Kok_Sertifikasi_-_Surum_1.crt,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/refwrap.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/allocated_ptr.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/unordered_set,transitive
bazel-bsp,libc6-dev,read,/usr/include/stdio.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/locale_classes.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/policy/limited/default_US_export.policy,top
bazel-bsp,libexpat1,read,/usr/lib/x86_64-linux-gnu/libexpat.so.1.6.12,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/fstream.tcc,transitive
bazel-bsp,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/libc.so,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/memoryfwd.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/messages_members.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/jdwpTransport.h,top
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/Certum_Trusted_Network_CA_2.crt,top
